Date,3 Year,5 Year,7 Year,10 Year,15 Year,20 Year
1028160000,,,,,,
1028246400,,,,,,
1028505600,,,,,,
1028592000,,,,,,
1028678400,,,,,,
1028764800,,,,,,
1028851200,,,,,,
1029110400,,,,,,
1029196800,,,,,,
1029283200,,,,,,
1029369600,,,,,,
1029456000,,,,,,
1029715200,,,,,,
1029801600,,,,,,
1029888000,,,,,,
1029974400,,,,,,
1030060800,,,,,,
1030320000,,,,,,
1030406400,,,,,,
1030492800,,,,,,
1030579200,,,,,,
1030665600,,,,,,
1030924800,,,,,,
1031011200,,,,,,
1031097600,,,,,,
1031184000,,,,,,
1031270400,,,,,,
1031529600,,,,,,
1031616000,,,,,,
1031702400,,,,,,
1031788800,,,,,,
1031875200,,,,,,
1032220800,,,,,,
1032307200,,,,,,
1032393600,,,,,,
1032480000,,,,,,
1032825600,,,,,,
1032912000,,,,,,
1032998400,,,,,,
1033084800,,,,,,
1033344000,,,,,,
1033430400,,,,,,
1033516800,,,,,,
1033603200,,,,,,
1033689600,,,,,,
1033948800,,,,,,
1034035200,,,,,,
1034121600,,,,,,
1034208000,,,,,,
1034294400,,,,,,
1034640000,,,,,,
1034726400,,,,,,
1034812800,,,,,,
1034899200,,,,,,
1035158400,,,,,,
1035244800,,,,,,
1035331200,,,,,,
1035417600,,,,,,
1035504000,,,,,,
1035763200,,,,,,
1035849600,,,,,,
1035936000,,,,,,
1036022400,,,,,,
1036108800,,,,,,
1036454400,,,,,,
1036540800,,,,,,
1036627200,,,,,,
1036713600,,,,,,
1036972800,,,,,,
1037059200,,,,,,
1037145600,,,,,,
1037232000,,,,,,
1037318400,,,,,,
1037577600,,,,,,
1037664000,,,,,,
1037750400,,,,,,
1037836800,,,,,,
1037923200,,,,,,
1038182400,,,,,,
1038268800,,,,,,
1038355200,,,,,,
1038441600,,,,,,
1038528000,,,,,,
1038787200,,,,,,
1038873600,,,,,,
1038960000,,,,,,
1039046400,,,,,,
1039132800,,,,,,
1039392000,,,,,,
1039478400,,,,,,
1039564800,,,,,,
1039651200,,,,,,
1039737600,,,,,,
1039996800,,,,,,
1040083200,,,,,,
1040169600,,,,,,
1040256000,,,,,,
1040342400,,0.003115866,0.006610005,0.010202731,,
1040688000,,0.003068341,0.006481274,0.010150131,,
1040774400,,0.00296345,0.006442674,0.009997203,,
1040860800,,0.002972433,0.006606587,0.010102944,,
1040947200,,0.002925151,0.006520883,0.00994376,,
1041206400,,0.002936808,0.006512324,0.009822391,,
1041811200,,0.003000624,0.006548964,0.009882306,,
1041897600,,0.002991149,0.006572074,0.009844454,,
1041984000,,0.002977608,0.006536036,0.009731764,,
1042070400,,0.003028082,0.006556262,0.00932526,,
1042156800,,0.003051213,0.006830377,0.009497247,,
1042502400,,0.003054448,0.006961835,0.009519316,,
1042588800,,0.002931853,0.006448537,0.009271268,,
1042675200,,0.002904069,0.00625813,0.009172399,,
1042761600,,0.002926,0.006173018,0.00914564,,
1043020800,,0.002904745,0.006181235,0.009061634,,
1043107200,,0.00291226,0.006186145,0.009054103,,
1043193600,,0.002764279,0.006106402,0.00894017,,
1043280000,,0.002704848,0.0060667,0.008881429,,
1043366400,,0.002578117,0.005930327,0.00891377,,
1043625600,,0.002542625,0.005804517,0.008821041,,
1043712000,,0.002667781,0.00571692,0.008745425,,
1043798400,,0.002644934,0.005667084,0.008675134,,
1043884800,,0.002590363,0.005519543,0.008434279,,
1043971200,,0.00276883,0.005877419,0.008924755,,
1044230400,,0.002826353,0.005824844,0.008967969,,
1044316800,,0.002959178,0.006057252,0.009354075,,
1044403200,,0.00320594,0.006165343,0.009412443,,
1044489600,,0.003208525,0.006149802,0.009375349,,
1044576000,,0.00314025,0.006049564,0.009223365,,
1044835200,,0.003182175,0.005855678,0.009069514,,
1045008000,,0.003355863,0.006094955,0.009278178,,
1045094400,,0.00338917,0.006090048,0.009231839,,
1045180800,,0.003314469,0.00600212,0.009218557,,
1045440000,,0.003440853,0.006281735,0.009528214,,
1045526400,,0.003416353,0.006284079,0.009569226,,
1045612800,,0.003380241,0.006186296,0.00951352,,
1045699200,,0.003348163,0.006017774,0.009424201,,
1045785600,,0.003168376,0.005868216,0.009219478,,
1046044800,,0.003167456,0.005702368,0.008988384,,
1046131200,,0.003128688,0.005495079,0.00868351,,
1046217600,,0.003312789,0.005580153,0.008798656,,
1046304000,,0.003351804,0.005568479,0.008789999,,
1046390400,,0.003342168,0.005567367,0.008775461,,
1046649600,,0.003293523,0.005626368,0.008776932,,
1046736000,,0.0031535,0.005510807,0.008385766,,
1046822400,,0.003204323,0.005498184,0.008409226,,
1046908800,,0.003102893,0.00549201,0.008391511,,
1046995200,,0.003075129,0.005431376,0.008325892,,
1047254400,,0.003129731,0.005440395,0.0083516,,
1047340800,,0.00305961,0.00521041,0.008120602,,
1047427200,,0.002986047,0.005083476,0.007907895,,
1047513600,,0.003024079,0.005175988,0.008197884,,
1047600000,,0.003005322,0.005276389,0.008286923,,
1047859200,,0.002919208,0.00520816,0.008161885,,
1047945600,,0.0029139,0.005242916,0.008031328,,
1048032000,,0.002873315,0.005230738,0.007966693,,
1048118400,,0.003152158,0.005578405,0.008315622,,
1048464000,,0.003227339,0.00565465,0.00829905,,
1048550400,,0.003186233,0.005365253,0.008001284,,
1048636800,,0.003205511,0.005404031,0.00805985,,
1048723200,,0.003339046,0.00562135,0.00827853,,
1048809600,,0.003254492,0.005661633,0.008373979,,
1049068800,,0.003040188,0.005318923,0.007963629,,
1049155200,,0.003088032,0.005441569,0.007909261,,
1049241600,,0.003215097,0.005537252,0.007893233,,
1049328000,,0.003124988,0.005491504,0.007621534,,
1049414400,,0.003228818,0.005576647,0.007934542,,
1049673600,,0.003326826,0.005827923,0.008180679,,
