CityCode,CityName,MeshCode,備考
1101,札幌市中央区,64413290,
1101,札幌市中央区,64414108,
1101,札幌市中央区,64414109,
1101,札幌市中央区,64414116,
1101,札幌市中央区,64414117,
1101,札幌市中央区,64414118,
1101,札幌市中央区,64414119,
1101,札幌市中央区,64414126,
1101,札幌市中央区,64414128,
1101,札幌市中央区,64414129,
1101,札幌市中央区,64414139,
1101,札幌市中央区,64414149,
1101,札幌市中央区,64414200,
1101,札幌市中央区,64414201,
1101,札幌市中央区,64414202,
1101,札幌市中央区,64414210,
1101,札幌市中央区,64414211,
1101,札幌市中央区,64414212,
1101,札幌市中央区,64414213,
1101,札幌市中央区,64414220,
1101,札幌市中央区,64414221,
1101,札幌市中央区,64414222,
1101,札幌市中央区,64414223,
1101,札幌市中央区,64414224,
1101,札幌市中央区,64414227,
1101,札幌市中央区,64414228,
1101,札幌市中央区,64414230,
1101,札幌市中央区,64414231,
1101,札幌市中央区,64414232,
1101,札幌市中央区,64414233,
1101,札幌市中央区,64414234,
1101,札幌市中央区,64414235,
1101,札幌市中央区,64414236,
1101,札幌市中央区,64414237,
1101,札幌市中央区,64414238,
1101,札幌市中央区,64414240,
1101,札幌市中央区,64414241,
1101,札幌市中央区,64414242,
1101,札幌市中央区,64414243,
1101,札幌市中央区,64414244,
1101,札幌市中央区,64414245,
1101,札幌市中央区,64414246,
1101,札幌市中央区,64414247,
1101,札幌市中央区,64414248,
1101,札幌市中央区,64414250,
1101,札幌市中央区,64414251,
1101,札幌市中央区,64414252,
1101,札幌市中央区,64414253,
1101,札幌市中央区,64414254,
1101,札幌市中央区,64414255,
1101,札幌市中央区,64414256,
1101,札幌市中央区,64414257,
1101,札幌市中央区,64414258,
1101,札幌市中央区,64414262,
1101,札幌市中央区,64414263,
1101,札幌市中央区,64414264,
1101,札幌市中央区,64414265,
1101,札幌市中央区,64414266,
1101,札幌市中央区,64414267,
1101,札幌市中央区,64414268,
1101,札幌市中央区,64414269,
1101,札幌市中央区,64414273,
1101,札幌市中央区,64414274,
1101,札幌市中央区,64414275,
1101,札幌市中央区,64414276,
1101,札幌市中央区,64414277,
1101,札幌市中央区,64414278,
1101,札幌市中央区,64414279,
1101,札幌市中央区,64414284,
1101,札幌市中央区,64414285,
1101,札幌市中央区,64414286,
1101,札幌市中央区,64414287,
1101,札幌市中央区,64414288,
1101,札幌市中央区,64414289,
1101,札幌市中央区,64414295,
